OBU_ID,COLLECTION_DT,STARTVECTOR_LATITUDE,STARTVECTOR_LONGITUDE,TRANSMISSTION,SPEED,HAZARD_LIGHTS,LEFT_TURN_SIGNAL_ON,RIGHT_TURN_SIGNAL_ON,STEERING,RPM,FOOTBRAKE,GEAR,ACCELATOR,WIPERS,TIRE_WARN_LEFT_F,TIRE_WARN_LEFT_R,TIRE_WARN_RIGHT_F,TIRE_WARN_RIGHT_R,TIRE_PSI_LEFT_F,TIRE_PSI_LEFT_R,TIRE_PSI_RIGHT_F,TIRE_PSI_RIGHT_R,FUEL_PERCENT,FUEL_LITER,TOTALDIST,RSU_ID,MSG_ID,STARTVECTOR_HEADING
OBU-46101141,20211001001000948,33.516793,126.50395,-,8,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-46101141-20210930150959463,10391
OBU-46100366,20211001044114612,33.257977,126.412754,-,50,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-46100366-20210930194113255,7331
OBU-461002e1,20211001063247264,33.513084,126.524458,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002e1-20210930213246052,7505
OBU-461002d8,20211001001813151,33.250552,126.489859,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20210930151811790,22623
OBU-461018d6,20211001054730094,33.528406,126.870102,D,6,OFF,OFF,OFF,-26,1077,작동,-,0,-,-,-,-,-,0,0,0,0,64,0,172649,,PVD-461018d6-20210930204728786,28235
OBU-461002d8,20211001001716778,33.250041,126.503551,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20210930151715405,21871
OBU-461001c4,20211001054500360,33.496065,126.491668,-,0,OFF,OFF,OFF,0,0,-,0,0,작동,-,-,-,-,0,0,0,0,0,0,0,,PVD-461001c4-20210930204457045,2463
OBU-46100366,20211001043517733,90.0000001,180.0000001,-,589,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-46100366-20210930193515980,28800
OBU-461010f2,20211001062800866,33.451799,126.923591,D,47,OFF,OFF,OFF,-4,1736,-,5,19,-,-,-,-,-,0,0,0,0,0,23,124914,,PVD-461010f2-20210930212754773,2047
OBU-4610118a,20211001062130458,33.307388,126.454312,P,0,OFF,OFF,OFF,-1,864,-,0,0,-,-,-,-,-,0,0,0,0,48,0,-1,,PVD-4610118a-20210930212129965,16226
OBU-46101088,20211001072000071,33.516218,126.590677,D,46,OFF,OFF,OFF,0,1360,작동,5,0,-,-,-,-,-,36,40,38,38,0,64,142653,,PVD-46101088-20210930221959849,18654
OBU-46100366,20211001053235719,33.384619,126.619933,-,0,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-46100366-20210930203234197,21955
OBU-4610013f,20211001032000510,33.488967,126.484606,D,32,OFF,OFF,OFF,0,1293,-,4,0,작동,-,-,-,-,0,0,0,0,41,0,137985,RSU-461f4259,PVD-461f4259-20210930181959262,4594
OBU-4610013f,20211001021900694,33.492176,126.521148,D,32,OFF,OFF,OFF,0,1080,-,4,10,작동,-,-,-,-,0,0,0,0,41,0,137975,RSU-461f430f,PVD-461f430f-20210930171859268,7258
OBU-46100366,20211001052029939,33.367293,126.624703,-,48,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-46100366-20210930202028451,27191
OBU-461002e1,20211001064101874,33.50795,126.554855,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,RSU-461f4309,PVD-461f4309-20210930214101570,9488
OBU-46101090,20211001054200181,33.438169,126.577995,-,64,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-46101090-20210930204158847,8616
